   34785000.000000000        69570000.000000000                            NaN                       NaN
         300   10435500000.000000        10400715000.000000       -0.0000000000000000                            NaN
         301   10470285000.000000        10435500000.000000       -0.0000000000000000                            NaN
         302   10505070000.000000        10470285000.000000       -0.0000000000000000                            NaN
         303   10539855000.000000        10505070000.000000       -0.0000000000000000                            NaN
         304   10574640000.000000        10539855000.000000       -0.0000000000000000                            NaN
         305   10609425000.000000        10574640000.000000       -0.0000000000000000                            NaN
         306   10644210000.000000        10609425000.000000       -0.0000000000000000                            NaN
         307   10678995000.000000        10644210000.000000       -0.0000000000000000                            NaN
         308   10713780000.000000        10678995000.000000       -0.0000000000000000                            NaN
         309   10748565000.000000        10713780000.000000       -0.0000000000000000                            NaN
         310   10783350000.000000        10748565000.000000       -0.0000000000000000                            NaN
         311   10818135000.000000        10783350000.000000       -0.0000000000000000                            NaN
         312   10852920000.000000        10818135000.000000       -0.0000000000000000                            NaN
         313   10887705000.000000        10852920000.000000       -0.0000000000000000                            NaN
         314   10922490000.000000        10887705000.000000       -0.0000000000000000                            NaN
         315   10957275000.000000        10922490000.000000       -0.0000000000000000                            NaN
         316   10992060000.000000        10957275000.000000       -0.0000000000000000                            NaN
         317   11026845000.000000        10992060000.000000       -0.0000000000000000                            NaN
         318   11061630000.000000        11026845000.000000       -0.0000000000000000                            NaN
         319   11096415000.000000        11061630000.000000       -0.0000000000000000                            NaN
         320   11131200000.000000        11096415000.000000       -0.0000000000000000                            NaN
         321   11165985000.000000        11131200000.000000       -0.0000000000000000                            NaN
         322   11200770000.000000        11165985000.000000       -0.0000000000000000                            NaN
         323   11235555000.000000        11200770000.000000       -0.0000000000000000                            NaN
         324   11270340000.000000        11235555000.000000       -0.0000000000000000                            NaN
         325   11305125000.000000        11270340000.000000       -0.0000000000000000                            NaN
         326   11339910000.000000        11305125000.000000       -0.0000000000000000                            NaN
         327   11374695000.000000        11339910000.000000       -0.0000000000000000                            NaN
         328   11409480000.000000        11374695000.000000       -0.0000000000000000                            NaN
         329   11444265000.000000        11409480000.000000       -0.0000000000000000                            NaN
         330   11479050000.000000        11444265000.000000       -0.0000000000000000                            NaN
         331   11513835000.000000        11479050000.000000       -0.0000000000000000                            NaN
         332   11548620000.000000        11513835000.000000       -0.0000000000000000                            NaN
         333   11583405000.000000        11548620000.000000       -0.0000000000000000                            NaN
         334   11618190000.000000        11583405000.000000       -0.0000000000000000                            NaN
         335   11652975000.000000        11618190000.000000       -0.0000000000000000                            NaN
         336   11687760000.000000        11652975000.000000       -0.0000000000000000                            NaN
         337   11722545000.000000        11687760000.000000       -0.0000000000000000                            NaN
         338   11757330000.000000        11722545000.000000       -0.0000000000000000                            NaN
         339   11792115000.000000        11757330000.000000       -0.0000000000000000                            NaN
         340   11826900000.000000        11792115000.000000       -0.0000000000000000                            NaN
